Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Competition
2026-03-24,Lyon,Benevento,2,1,H,Ligue 1
2026-03-24,Brighton,Liverpool,2,1,H,Premier League
2026-03-24,Monaco,Union Berlin,4,0,H,Unknown
2026-03-24,Lyon,Lorient,1,0,H,Ligue 1
2026-03-24,Newcastle,Sunderland,1,2,A,Premier League
2026-03-24,Barcelona,Rayo Vallecano,1,0,H,La Liga
2026-03-24,Mainz,Eintracht Francoforte,2,1,H,Bundesliga
2026-03-24,Fulham,Burnley,3,1,H,Premier League
2026-03-24,Everton,Chelsea,3,0,H,Premier League
2026-03-24,Leeds,Brentford,0,0,D,Premier League
2026-03-24,Elche,Mallorca,2,1,H,La Liga
2026-03-24,Espanyol,Getafe,1,2,A,La Liga
2026-03-24,Levante,Real Oviedo,4,2,H,La Liga
2026-03-24,Osasuna,Girona,1,0,H,La Liga
2026-03-24,Siviglia,Valencia,0,2,A,La Liga
2026-03-24,Heidenheim,Leverkusen,3,3,D,Bundesliga
2026-03-24,Wolfsburg,Werder Bremen,0,1,A,Bundesliga
2026-03-24,Dortmund,Amburgo,3,2,H,Bundesliga
2026-03-24,Auxerre,Brest,3,0,H,Ligue 1
2026-03-24,Nizza,PSG,0,4,A,Ligue 1
2026-03-24,Aston Villa,West Ham,2,0,H,Premier League
2026-03-24,Tottenham,Forest,0,3,A,Premier League
2026-03-24,Celta Vigo,Alaves,3,4,A,La Liga
2026-03-24,Athletic Bilbao,Betis,2,1,H,La Liga
2026-03-24,Real Madrid,Atletico Madrid,3,2,H,La Liga
2026-03-24,Pauli,Friburgo,1,2,A,Bundesliga
2026-03-24,Augsburg,Stoccarda,2,5,A,Bundesliga
2026-03-24,Lione,Monaco,1,2,A,Ligue 1
2026-03-24,Marsiglia,Lille,1,2,A,Ligue 1
2026-03-24,Paris FC,Le Havre,3,2,H,Ligue 1
2026-03-24,Rennes,Metz,0,0,D,Ligue 1
2026-03-24,Nantes,Strasbourg,2,3,A,Ligue 1
2026-04-06,Rayo Vallecano,Elche,1,0,H,La Liga
2026-04-06,PSG,Lyon,3,1,H,Ligue 1
2026-04-06,Real Sociedad,Levante,2,0,H,La Liga
2026-04-06,Mallorca,Real Madrid,2,1,H,La Liga
2026-04-06,Betis,Espanyol,0,0,D,La Liga
2026-04-06,Atletico Madrid,Barcelona,1,2,A,La Liga
2026-04-06,Amburgo,Augsburg,1,1,D,Bundesliga
2026-04-06,Werder Bremen,Lipsia,1,2,A,Bundesliga
2026-04-06,Friburgo,Monaco,2,3,A,Unknown
2026-04-06,Hoffenheim,Mainz,1,2,A,Bundesliga
2026-04-06,Leverkusen,Wolfsburg,6,3,H,Bundesliga
2026-04-06,Stoccarda,Dortmund,0,2,A,Bundesliga
2026-04-06,Strasbourg,Nizza,3,1,H,Ligue 1
2026-04-06,Brest,Rennes,3,4,A,Ligue 1
2026-04-06,Lille,Lens,3,0,H,Ligue 1
2026-04-06,Getafe,Athletic Bilbao,2,0,H,La Liga
2026-04-06,Valencia,Celta Vigo,2,3,A,La Liga
2026-04-06,Real Oviedo,Siviglia,1,0,H,La Liga
2026-04-06,Alaves,Osasuna,2,2,D,La Liga
2026-04-06,Eintracht Francoforte,Lyon,2,2,D,Unknown
2026-04-06,Angers,Lione,0,0,D,Ligue 1
2026-04-06,Le Havre,Auxerre,1,1,D,Ligue 1
2026-04-06,Lorient,PSG,1,1,D,Ligue 1
2026-04-06,Metz,Nantes,0,0,D,Ligue 1
2026-04-06,Monaco,Marsiglia,2,1,H,Ligue 1
2026-04-07,Girona,Aston Villa,1,0,H,Unknown
